latitude,longitude
33.055868,-116.154262
33.203073,-115.143962
32.945301,-116.769228
33.971837,-114.748627
32.279006,-111.717726
32.945301,-112.640175
33.239836,-111.058835
33.898917,-112.684101
33.829927,-111.296269
32.875551,-112.526200
32.505708,-111.581788
34.066881,-110.857008
34.012258,-112.592089
36.339189,-120.287306
36.868360,-120.287306
33.548334,-115.458781
33.749536,-115.107373
35.556879,-118.467719
35.449553,-118.863054
35.788925,-118.292015
38.692075,-122.595088
38.965949,-123.341832
39.272796,-122.155827
39.340803,-123.297906
32.738916,-114.029499
32.701944,-113.194903
35.324229,-113.107051
34.964889,-114.205203
37.446652,-108.538736
37.620894,-107.748067
37.600156,-108.827176
37.216181,-108.014543
42.629602,-75.856589
42.871624,-74.538806
42.986410,-74.007915
42.175299,-75.615322
42.451518,-75.044283
42.597261,-74.648948
42.467728,-76.010657
42.823295,-73.990057
43.305693,-75.173280
43.640548,-73.789607
42.322509,-76.600791
42.678902,-75.063378
42.920732,-74.492339
43.001132,-73.811484
42.354992,-77.742870
42.127257,-76.842385
42.241227,-76.095641
43.941912,-74.228782
44.020965,-74.624117
44.251347,-73.666236
44.416371,-74.105262
36.856961,-77.766644
37.869840,-76.800270
37.102700,-78.689092
37.696182,-77.766644
37.869840,-79.391910
38.284951,-78.381609
37.032570,-79.699392
37.591791,-76.492787
39.820535,-90.197730
40.205099,-90.705431
45.539181,-68.800034
46.090496,-68.360773
